Location,Individual,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1_Japan,J11,-0.130453,-0.0717021,0.176819,0.189557,0.0163836,-0.0712082,0.0749946,0.106375,0.0129943,-0.0883946,0.145887,0.216662,-0.277111,0.241918,-0.364955,-0.0309029,-0.280458,0.432894,0.141309,-0.362962
1_Japan,J13,-0.118771,-0.0756926,0.175361,0.150701,-0.0650198,-0.0648641,0.103155,0.0395579,0.0852849,-0.0480505,-0.00370284,-0.164527,-0.0764501,-0.0861433,0.347231,0.0288017,-0.242515,-0.0339761,-0.0494804,-0.107645
1_Japan,J15,0.0942502,-0.11073,0.32578,0.0476321,0.141044,-0.0784847,-0.0344475,0.0122702,0.246091,0.605016,-0.264743,-0.255594,0.372671,-0.127636,-0.171503,0.0753456,-0.0769042,0.111313,0.019505,-0.0867551
1_Japan,J17,-0.134919,-0.077614,0.169315,0.158906,-0.0147333,-0.0972625,-0.00433481,0.111743,0.0718901,-0.0723189,0.1928,0.0634876,-0.0080591,-0.00839576,-0.339891,0.108552,0.236849,-0.0442455,-0.708825,0.333457
1_Japan,J19,-0.123835,-0.0795712,0.0860281,0.15427,0.0402671,-0.1616,0.0737904,0.00168934,-0.0613791,0.0459293,0.103548,0.0249809,-0.205587,-0.00658267,-0.0887137,0.0847766,0.0101674,0.0261989,0.525681,0.625746
1_Japan,J3,-0.137967,-0.0662321,0.206727,0.135788,0.017555,-0.0502554,-0.104322,0.0543968,-0.117231,-0.0571888,0.00108024,0.29403,0.0274594,-0.384145,0.0975374,-0.348985,0.512674,-0.164617,0.130606,-0.287712
1_Japan,J5,-0.118623,-0.0893089,0.134145,0.138334,-0.0376777,0.0125291,0.121795,0.0640782,0.0147814,-0.14305,-0.0851538,-0.0161201,0.0747703,-0.00633716,0.126889,-0.0194893,0.0781938,0.0331289,0.0776997,-0.183405
1_Japan,J9,-0.138162,-0.0609447,0.162807,0.159978,-0.0575687,-0.0520215,0.041539,-0.0566607,0.0285927,-0.0411273,0.147265,-0.0503051,0.145831,0.121479,0.491823,-0.153263,-0.293749,-0.214306,-0.0681721,0.224647
3_Indonesia,N1,0.216461,-0.0622112,0.149326,-0.520952,-0.120323,-0.136524,-0.20493,-0.0589194,0.264806,0.0509183,0.602803,0.107046,0.0617695,0.0965191,0.0211554,0.0908117,0.035299,-0.140993,0.127811,-0.12056
3_Indonesia,N2,0.0724861,-0.0198032,0.070196,-0.461309,-0.0288534,0.148689,0.157897,0.125178,0.0230908,-0.331052,-0.0761219,-0.308852,-0.0603988,-0.44961,-0.0722248,-0.28357,-0.108761,0.331193,-0.0370054,0.178887
3_Indonesia,N3,0.0755288,-0.0249517,0.26763,-0.354119,0.0324839,0.27098,-0.0315956,0.281279,-0.0656121,0.0122392,-0.49364,0.394831,-0.110408,0.345114,0.0859145,0.0884624,0.00700602,-0.156545,-0.0183218,0.135754
3_Indonesia,N5,0.0423184,0.958892,0.118989,0.0518944,0.0456623,-0.109363,-0.00427864,0.0140984,0.0056665,-0.0169847,0.00448064,-0.0113157,0.0402446,0.0150379,-0.0225373,-0.0348866,-0.0140959,-0.00920631,0.0105054,0.00429891
3_Indonesia,N6,-0.0894629,0.0239585,0.0112989,-0.125512,-0.161022,0.174431,-0.0849495,-0.282341,-0.492105,0.483579,0.0915301,-0.221367,-0.431692,0.0524918,0.086696,-0.0888548,0.10751,0.0823743,-0.145897,-0.0461322
3_Indonesia,N7,-0.0941221,-0.00728416,0.0509347,-0.0180633,-0.0120774,0.0732067,0.0347102,-0.0240728,-0.152954,-0.291676,-0.0568838,-0.335788,-0.0604688,-0.0994517,-0.0749085,0.699049,0.0898481,-0.265976,0.0949628,-0.231598
2_Philippines,P1,-0.0875141,-0.0436715,-0.124851,-0.00384059,-0.0344368,0.0969974,-0.108657,-0.0757687,-0.172084,-0.163687,0.00345407,-0.256742,0.491856,0.440695,-0.0993247,-0.133904,0.355111,0.203296,0.193291,0.0956752
2_Philippines,P10,-0.099303,-0.0086519,-0.164307,0.00588701,-0.105253,0.130555,-0.0114365,-0.00952732,0.0693021,-0.118043,0.014388,-0.0457192,0.095415,0.275297,0.162731,-0.088675,-0.125313,0.153902,-0.244595,-0.170033
2_Philippines,P14,0.524069,-0.0269167,-0.217708,0.251413,-0.641936,0.000324327,0.133692,0.299599,-0.121974,0.0852162,-0.011252,0.0469426,0.0682103,-0.0772769,-0.0801007,0.00375704,-0.0328267,-0.0758216,0.0417083,0.00886442
2_Philippines,P16,-0.0948525,-0.0486686,-0.123672,-0.0657042,0.0896873,0.0830904,0.0144745,-0.302591,-0.303957,-0.050554,-0.0169484,0.188111,0.268426,-0.133826,-0.407902,-0.180515,-0.457272,-0.411924,0.000954997,-0.0306712
2_Philippines,P18,-0.0429978,-0.0509589,-0.330079,0.0121541,0.113083,-0.335518,-0.73075,0.278865,-0.00730958,-0.0467203,-0.180912,-0.118508,-0.149553,-0.0565791,0.0214126,-0.0431971,-0.140431,-0.0201326,-0.0195215,0.00342525
