Location,Individual,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1_Japan,J11,0.29587,-0.130117,-0.0738143,-0.780265,0.101727,0.190675,-0.0792718,-0.181421,-0.255109,0.262343,-0.0812682,0.00518769,0.0314814,-0.0786295,-0.0507108,-0.0472691,-0.0281785,-0.0412892,0.00667631,0.00167776
1_Japan,J13,0.301656,-0.12594,-0.0531631,0.0478536,-0.108436,-0.637058,0.0059088,-0.132314,0.252479,0.358837,-0.129831,0.0778418,-0.14112,0.408426,0.0600266,0.0259633,0.0446311,0.052355,0.00225114,0.00361384
1_Japan,J15,0.326971,-0.16839,-0.197067,0.42578,0.16336,0.580622,0.0836203,0.225888,0.00201403,0.350237,-0.0775228,0.0362338,0.0367327,0.219903,0.0118613,0.0421349,0.00296179,-0.000973511,-0.020527,0.0149454
1_Japan,J17,0.313124,-0.128063,-0.0145189,-0.135999,0.108811,0.0574097,-0.0258781,0.162092,0.0946675,-0.574533,0.375318,0.112593,-0.418239,0.177876,0.0553452,0.138021,0.0566093,0.167224,-0.0496451,0.149244
1_Japan,J19,0.229796,0.211313,0.658214,0.254714,0.137733,-0.0315604,0.0352582,-0.308831,-0.471497,-0.0493236,-0.0454724,0.0719888,0.0138218,0.0562182,0.00155042,0.0645589,-0.0376138,-0.0181497,-0.0298613,0.0673707
1_Japan,J3,0.234251,0.0854423,0.368772,-0.148061,0.196388,-0.0941806,0.304173,0.442149,0.410066,-0.0958082,-0.153105,-0.187115,0.286985,-0.207201,0.00598945,-0.105848,0.00928027,-0.0849525,0.0666602,-0.131673
1_Japan,J5,0.284781,-0.0754513,-0.212481,0.153588,-0.263102,-0.0932159,-0.196669,-0.151011,0.00613132,-0.119439,0.0656748,-0.123666,0.487822,-0.39783,0.178793,0.321864,-0.0120696,0.266217,-0.00726538,0.139222
1_Japan,J9,0.274184,-0.0685669,-0.194639,0.237033,-0.172431,-0.0757479,-0.0881887,-0.137087,-0.0629065,-0.162351,0.0653325,-0.043122,-0.211084,-0.328324,-0.288182,-0.459716,-0.0223009,-0.359492,0.0790202,-0.306196
3_Indonesia,N1,-0.198257,-0.277291,0.16079,0.0322019,-0.0651884,-0.0144002,-0.138249,0.15073,-0.0703632,0.0162511,-0.148365,0.00942836,-0.0142877,-0.0252474,-0.319551,-0.338803,-0.154728,0.671632,-0.0248027,0.00104275
3_Indonesia,N2,-0.199476,-0.320204,-0.165029,-0.00840356,0.0593542,-0.1537,0.271114,0.0872317,-0.301027,-0.265872,-0.222748,0.0956805,0.188898,0.160425,-0.238111,0.377463,0.0962166,-0.150085,0.0104908,-0.288615
3_Indonesia,N3,-0.0835757,0.0874662,-0.28917,0.00739821,0.00123911,-0.152985,0.225445,0.196388,-0.369286,-0.166397,-0.23617,-0.0888676,0.0307451,0.0747511,0.44892,-0.383765,-0.0800528,-0.076114,-0.0818986,0.332232
3_Indonesia,N4,-0.112832,0.180204,-0.0817754,0.020172,0.168038,-0.0203039,-0.208231,0.0628598,-0.03541,0.0344561,-0.206316,-0.093154,-0.198629,-0.0817352,-0.028998,0.223102,0.197158,0.0404833,0.112393,-0.337759
3_Indonesia,N5,-0.125992,0.258795,-0.234863,0.0514677,0.63212,-0.113953,-0.219224,-0.155423,0.138414,-0.0325502,0.131463,0.381747,0.263946,-0.0120367,-0.0294177,-0.179612,0.0707637,0.0505609,0.0798287,0.0407404
3_Indonesia,N6,-0.109582,0.141042,-0.0249694,-0.0278392,-0.184893,0.00945421,0.465396,0.00496398,-0.00753103,0.225662,0.316697,0.426309,-0.127035,-0.244903,0.191056,0.0948057,-0.258362,0.126083,0.0557034,-0.225948
3_Indonesia,N7,-0.103413,0.171194,-0.067303,0.0259333,0.0444618,-0.138394,0.035713,0.207265,-0.0704157,0.203584,0.084097,-0.0842373,-0.174748,-0.256367,-0.421206,0.205165,0.141269,-0.0713975,-0.39604,0.421685
2_Philippines,P1,-0.121807,0.0769062,0.0255299,-0.00649263,-0.0961338,0.0267763,-0.0123871,0.0120657,0.0662446,0.100577,0.12495,-0.243191,-0.023489,0.0950415,-0.16003,-0.0181457,-0.0496321,-0.16992,0.488568,0.332001
2_Philippines,P10,-0.119223,0.119904,-0.0529019,-0.00516825,-0.0691903,0.0758659,0.116948,-0.0715283,-0.0290728,-0.039018,-0.0696217,-0.0663087,-0.126023,0.000827536,-0.00536882,0.0525796,0.0386519,0.220916,0.569167,0.038044
2_Philippines,P14,-0.105954,0.153424,-0.0600493,-0.0265253,-0.0877263,0.222569,0.357702,-0.469588,0.255618,-0.0912198,-0.0938858,-0.213746,-0.0267676,0.0761809,0.0019499,-0.15845,0.386404,0.188544,-0.343654,-0.0783204
2_Philippines,P16,-0.117224,0.133204,-0.0164024,-0.0315499,0.0223105,-0.056194,-0.174458,0.119392,-0.142656,0.0841401,0.466938,-0.436362,0.162927,0.302932,0.0792508,-0.0552084,-0.254469,0.0328172,-0.216977,-0.373751
2_Philippines,P18,-0.130204,-0.0660787,0.185047,-0.0634192,-0.383563,0.0673096,-0.165263,0.21654,-0.0127984,0.0517241,0.15756,0.443915,0.248322,0.0984894,-0.0115611,-0.18647,0.369007,-0.175223,-0.0780473,0.0284368
2_Philippines,P20,-0.18833,-0.243714,0.041783,0.00209595,0.0376884,0.0977283,0.0818043,-0.30226,0.283425,-0.132469,-0.0205884,0.051737,0.13333,0.102855,-0.179524,0.0510279,-0.541399,-0.251299,-0.107,0.19239
2_Philippines,P22,-0.215013,-0.262445,0.123883,0.0626228,0.173655,-0.027151,-0.171067,0.022136,0.0849853,0.144968,-0.132983,-0.0319191,-0.340294,-0.344042,0.37344,0.0765143,-0.118147,-0.0910117,-0.161712,-0.035885
2_Philippines,P24,-0.220478,-0.320548,0.193345,0.0141155,-0.00781534,0.0955694,-0.212873,-0.106231,0.09167,-0.0284902,0.0445248,-0.0873343,0.00272852,0.0154732,0.308324,0.000119908,0.277416,-0.146409,0.0958971,0.0234831
2_Philippines,P3,0.00825542,0.465833,-0.0249718,-0.0808807,-0.319842,0.173076,-0.332523,0.098552,0.152435,-0.164619,-0.412042,0.157614,-0.0781681,0.154302,0.0263615,0.13409,-0.259771,-0.0660683,-0.117126,-0.0631216
2_Philippines,P6,-0.117527,0.10208,0.00575551,-0.020373,-0.0885656,0.0117876,0.041201,0.00744301,-0.010078,0.0893096,0.197364,-0.171252,-0.00785542,0.0326157,-0.0102063,0.125879,0.126355,-0.114448,0.0679021,0.0551401
