POPONE,POPTWO,POPTHREE,DISPONE,DISPTWO,TDIVTWO,MaxEstLhood,MaxObsLhood
2717,2804,2672,0.0027461,0.0044884,4349,-12448.124,-11713.691
1940,1974,2048,0.0045517,0.0078032,3983,-12503.277,-11786.939
2324,2535,2435,0.0033748,0.0044045,4921,-12536.501,-11800.625
3492,3001,3939,0.0026213,0.0030587,5340,-12380.466,-11667.713
2405,3223,2039,0.0031548,0.0044877,5442,-12484.297,-11753.593
2349,1908,1987,0.0035428,0.0058493,4473,-12545.826,-11830.204
1754,2264,1562,0.0045437,0.0071813,4418,-12450.992,-11787.808
2881,3260,2913,0.0024519,0.0042585,5453,-12298.329,-11621.048
2564,2453,1985,0.0038933,0.0056114,5416,-12467.122,-11750.528
2267,2096,1898,0.0032638,0.0071042,4079,-12492.905,-11758.893
2642,3461,3366,0.0026052,0.0043915,4527,-12365.152,-11660.418
2945,3006,2718,0.0026326,0.0051271,2033,-12426.852,-11710.066
2068,3323,2166,0.003715,0.004909,5588,-12394.708,-11683.796
1794,2793,1912,0.0039221,0.0061215,4737,-12568.689,-11874.216
2995,2130,2435,0.0029862,0.0055524,5416,-12509.487,-11803.392
1987,2974,2640,0.0027965,0.0062983,4498,-12480.483,-11770.376
2520,3037,2346,0.003062,0.0043215,5301,-12433.79,-11724.475
2224,2530,2246,0.0033724,0.0060614,4925,-12452.001,-11736.594
2120,2319,2025,0.0033425,0.0050357,4308,-12554.704,-11794.709
2071,2716,1822,0.0034991,0.0065689,4879,-12430.924,-11759.688
2322,2781,2520,0.0029567,0.0053801,5004,-12445.163,-11747.811
2176,2346,1987,0.0035193,0.0056084,4473,-12398.307,-11693.609
1650,2458,1572,0.0050924,0.0070712,4211,-12433.954,-11729.867
2275,1956,2138,0.0033653,0.0049879,4933,-12518.047,-11788.999
1944,2254,1558,0.0044,0.0067169,5513,-12521.337,-11810.587
2493,2621,2433,0.0033629,0.0047508,4514,-12447.048,-11730.19
2240,2608,2274,0.003117,0.0048204,5198,-12469.858,-11724.22
2581,2424,2051,0.0028294,0.0049965,5500,-12484.708,-11778.861
2317,2791,2462,0.0033412,0.0052367,5493,-12465.357,-11770.876
2403,2967,2455,0.0027895,0.0044803,5672,-12447.227,-11734.318
1815,2380,1611,0.0047988,0.0077755,4313,-12484.402,-11798.013
2349,1967,2640,0.0029816,0.0052897,5056,-12550.008,-11836.785
2803,3621,3168,0.0026922,0.0035523,5614,-12438.762,-11693.06
2193,2699,2075,0.0032425,0.0046083,4857,-12477.445,-11772.209
2213,2730,1723,0.0035133,0.0066632,5061,-12516.738,-11814.646
2015,1807,1505,0.0044112,0.0070441,4139,-12448.127,-11751.144
2838,3580,2281,0.0028687,0.0044356,5793,-12418.491,-11718.426
2638,3099,2271,0.0031117,0.0047357,5199,-12414.581,-11727.917
2389,2602,1909,0.00356,0.0061854,5552,-12507.628,-11795.968
