Location,Individual,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1_Japan,J11,-0.154506,-0.0897334,0.237613,-0.0493398,0.0401549,-0.0213482,0.158785,-0.0378091,0.0105912,-0.168491,0.106224,0.127309,0.447485,-0.158984,0.143559,0.0792945,0.462737,0.204112,-0.0818258,0.371373
1_Japan,J13,-0.146004,-0.106629,0.21696,-0.0303517,-0.0519382,-0.0764954,0.0743748,-0.0890346,-0.0717703,0.0954197,0.0262832,-0.162786,0.0555575,0.210812,-0.364743,0.207259,0.0870772,-0.0527623,0.127778,0.182535
1_Japan,J15,0.0361875,-0.143368,0.328515,0.217252,0.0733008,-0.0234697,-0.286952,-0.0937281,0.0877839,0.641603,-0.0368237,0.0949099,-0.387831,-0.144393,0.0830858,0.0535437,0.170485,0.0701932,-0.0906972,0.0396334
1_Japan,J17,-0.163533,-0.096351,0.232349,-0.0465708,0.0534377,-0.115006,0.113475,-0.0391696,0.139263,-0.138783,0.131517,-0.0398732,-0.155144,0.0387281,0.468191,0.137259,-0.283976,-0.0488846,0.611059,-0.154809
1_Japan,J19,-0.142059,-0.0885273,0.174061,-0.0819591,0.0609876,-0.16074,-0.00295495,0.0833339,-0.142621,-0.0480733,0.118807,0.117746,0.176275,0.0821232,0.248955,0.00515332,0.13112,0.063867,-0.382981,-0.663148
1_Japan,J3,-0.160555,-0.0723159,0.22226,0.0256735,0.0446744,-0.0106137,0.0405946,0.146453,0.0635979,-0.232747,-0.224964,0.219377,-0.179375,0.20142,-0.0292172,-0.599972,-0.310687,0.0995011,-0.212338,0.202941
1_Japan,J5,-0.1431,-0.102923,0.174785,-0.0274847,-0.039029,0.0537667,0.175019,-0.108697,-0.0429172,-0.00954222,-0.142332,-0.0660302,-0.0276522,-0.023998,-0.124688,-0.00738939,-0.0616912,0.241169,0.131423,0.178535
1_Japan,J9,-0.160335,-0.0797498,0.216953,-0.0467923,-0.0448351,-0.0565526,0.00432163,0.00438055,-0.0795578,-0.0760026,0.161501,-0.0433448,-0.043392,-0.0628789,-0.549398,-0.0402057,-0.0419256,-0.476616,-0.0402247,-0.233197
3_Indonesia,N1,0.205666,-0.0508906,-0.137821,0.484871,-0.183877,-0.309215,-0.200926,-0.220239,0.193631,-0.308046,0.471514,0.111025,-0.0235603,-0.0509071,-0.0328893,0.0307114,-0.113393,0.0148408,-0.110115,0.135711
3_Indonesia,N2,0.0661787,0.00165231,-0.23851,0.390922,-0.0789007,0.114265,0.306241,-0.15696,-0.0954177,0.0232465,-0.069899,-0.232011,-0.129194,0.378933,0.0189103,-0.299946,0.422372,0.0972478,0.158382,-0.215269
3_Indonesia,N3,0.0689084,-0.012476,-0.0154191,0.426876,-0.0751981,0.198829,0.201348,0.0275823,0.253571,0.0726538,-0.494371,0.192645,0.361251,-0.187671,0.00121429,0.208139,-0.22837,-0.197106,-0.0382208,-0.139278
3_Indonesia,N4,0.0994062,0.557708,0.116643,0.00957465,0.0526468,-0.0143743,-0.0190588,-0.0414466,-0.000194123,0.00265137,-0.000681987,0.0377776,-0.0238205,-0.0566665,-0.00182843,-0.01418,0.0139083,0.0118587,-0.0231382,-0.0327046
3_Indonesia,N5,0.0890123,0.731999,0.163122,-0.0466671,0.0840276,-0.0416084,0.0219757,0.0431352,0.0199241,0.0047364,0.0310842,-0.0536311,-0.00147937,0.0230585,-0.0158809,-0.000985229,0.0173453,-0.000686149,0.0374254,0.0361138
3_Indonesia,N6,-0.0794367,0.0152295,-0.104275,0.114296,-0.30742,0.167568,-0.243714,0.648696,-0.157527,0.254081,0.247133,0.0289288,0.248773,0.218474,0.0174797,-0.0164654,-0.112574,0.0890417,0.164347,0.0836146
3_Indonesia,N7,-0.0831779,-0.0126102,-0.0533615,0.0339446,-0.00929832,0.0867435,0.0796174,0.0645017,-0.0786535,-0.124324,-0.0660291,-0.538432,-0.178449,0.170591,0.176203,0.428115,-0.192858,-0.0465446,-0.438721,0.160082
2_Philippines,P1,-0.0793155,-0.0390227,-0.156887,-0.0422301,-0.0167952,0.111278,-0.0145313,0.140888,0.0491898,-0.0449936,0.0560625,-0.344964,-0.132828,-0.608252,-0.0395896,-0.190755,-0.0681312,0.339905,-0.084364,-0.108921
2_Philippines,P10,-0.0861385,-0.00113438,-0.178955,-0.125874,-0.0673284,0.139875,0.00469711,-0.113069,0.0758658,-0.00696018,0.0596893,-0.0618297,0.0928322,-0.249745,-0.231259,-0.0358435,0.00550878,0.10966,0.244163,-0.181077
