Location,Individual,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1_Japan,J11,-0.130351,-0.069164,0.0759406,-0.241924,0.0128608,0.0769043,0.0546124,-0.115215,0.0412639,0.0361865,0.129758,0.159102,0.138061,-0.244923,0.342227,-0.175444,0.264649,0.465428,-0.135679,0.351485
1_Japan,J13,-0.120779,-0.0822559,0.0931352,-0.204652,0.0924868,0.0727548,0.0862997,-0.0721938,0.102629,0.0272531,-0.00281568,-0.161167,0.143506,0.0358866,-0.322149,0.107619,0.231686,-0.0309652,0.0455384,0.164395
1_Japan,J15,0.092082,-0.0985654,0.269964,-0.165213,-0.133022,0.103385,-0.0405316,-0.0213911,0.172318,-0.573293,-0.365422,-0.245198,-0.352502,0.277813,0.0994325,0.0738476,0.0660134,0.086541,0.022686,0.053065
1_Japan,J17,-0.135056,-0.0757311,0.0754047,-0.198234,0.0406168,0.0962885,-0.0289979,-0.116809,0.0903133,0.0423089,0.208391,0.0661362,-0.00166084,0.0222355,0.414782,-0.00421804,-0.236216,-0.0982538,0.704997,-0.224699
1_Japan,J19,-0.125435,-0.0736631,0.013365,-0.176637,-0.0209987,0.17507,0.0754113,-0.0226791,-0.0451185,-0.0693934,0.104611,0.0100685,0.175588,-0.0323727,0.162188,0.0133888,0.0141663,0.140666,-0.46965,-0.642862
1_Japan,J3,-0.138316,-0.0602911,0.129024,-0.221021,0.00795523,0.0718571,-0.106329,-0.0460792,-0.116459,0.0574068,0.0153763,0.320318,0.100351,0.355039,-0.212421,-0.243547,-0.511296,-0.211191,-0.172699,0.18802
1_Japan,J5,-0.120224,-0.0860058,0.0631457,-0.17632,0.0607606,-0.00548282,0.109315,-0.0977155,0.0304299,0.153566,-0.0646936,0.0021768,-0.0606325,0.0125872,-0.11778,0.0282772,-0.097434,0.0460784,-0.11072,0.32859
1_Japan,J9,-0.138281,-0.057963,0.0795969,-0.212701,0.0830611,0.0614582,0.0427522,0.0386612,0.062,0.00734068,0.156877,-0.0124844,-0.112163,-0.135164,-0.519746,-0.0203924,0.298573,-0.223924,0.106205,-0.325126
3_Indonesia,N1,0.203823,-0.0600766,0.366424,0.433067,0.091409,0.11467,-0.203815,0.10038,0.291735,-0.169588,0.552825,0.124368,-0.0510358,-0.0854419,0.0128159,0.0874258,-0.0133095,-0.121936,-0.154938,0.132085
3_Indonesia,N2,0.0595135,-0.0300476,0.265785,0.380461,0.0109058,-0.180773,0.128379,-0.153306,0.0245665,0.348446,-0.017584,-0.299724,0.141082,0.443669,-0.0758755,-0.257251,0.0484205,0.337299,0.0933128,-0.172251
3_Indonesia,N3,0.0662104,-0.022465,0.398018,0.183479,-0.0588994,-0.25483,-0.0781263,-0.27626,-0.129148,0.0697374,-0.490762,0.373629,0.0338485,-0.38931,0.0210113,0.0696004,0.028601,-0.145251,0.00851483,-0.136631
3_Indonesia,N4,0.0882072,0.56725,0.0257088,-0.0286459,-0.0198825,0.0418149,0.012103,0.00388027,0.0260847,-0.00681398,-0.00774262,0.0346648,-0.0588644,-0.00160662,0.00918615,-0.0151195,-0.00931443,0.00677423,-0.0320408,-0.0297062
3_Indonesia,N5,0.0777465,0.751601,-0.00446888,-0.0946667,-0.0225956,0.0715736,-0.0298596,-0.0233014,-0.030312,0.0296052,0.0261511,-0.0518403,0.00698819,0.00707872,-0.00239707,-0.0258554,0.0261714,-0.00946131,0.0236799,0.0352883
3_Indonesia,N6,-0.095729,-0.00508198,0.0686732,0.0914045,0.158814,-0.178918,-0.0403625,0.332427,-0.520896,-0.433901,0.0332186,-0.25739,0.380316,-0.176214,-0.0529626,-0.0989314,-0.131043,0.0578585,0.129388,0.0673562
3_Indonesia,N7,-0.098681,-0.0285944,0.0574974,-0.0272691,0.031166,-0.0725101,0.0345115,0.00388201,-0.119562,0.305559,0.0155778,-0.355101,0.0860273,0.0509818,0.265629,0.634447,-0.0111004,-0.304865,-0.15463,0.134031
2_Philippines,P1,-0.0954531,-0.0578858,-0.10011,0.0424748,0.0374666,-0.102589,-0.08097,0.0959538,-0.138474,0.167644,0.0557515,-0.223761,-0.648371,-0.257252,0.0034371,-0.102177,-0.365896,0.177874,-0.171565,-0.0860683
2_Philippines,P10,-0.105675,-0.0301073,-0.145898,0.0606772,0.0953148,-0.143114,-0.00703005,0.0148783,0.0988752,0.0934759,0.0212421,-0.0332879,-0.144726,-0.255077,-0.183616,-0.0388489,0.105873,0.135118,0.251557,0.133251
2_Philippines,P14,0.517767,-0.103778,-0.330881,-0.0504714,0.648156,-0.032417,0.0698716,-0.294706,-0.117049,-0.0915216,-0.0211831,0.064414,-0.0457118,0.100393,0.0670782,-0.0187983,0.0492954,-0.0717721,-0.0460214,-0.0232425
2_Philippines,P16,-0.103661,-0.061523,-0.0723242,0.0912924,-0.103332,-0.0751931,0.0732312,0.326761,-0.293,0.0929449,0.017856,0.207527,-0.259009,0.267724,0.273223,-0.280176,0.482654,-0.338013,-0.0296831,0.0598562
2_Philippines,P18,-0.0540675,-0.0860583,-0.321512,0.149487,-0.15084,0.321729,-0.756424,-0.164686,-0.0466127,0.083547,-0.149394,-0.127757,0.134024,0.0168534,-0.0322728,-0.0562165,0.126716,-0.00141124,0.0145217,0.00957441
2_Philippines,P20,-0.077021,-0.0180404,-0.359449,0.113508,-0.466778,-0.37954,0.194676,-0.46366,0.0474813,-0.301731,0.256534,-0.0293783,0.0430629,0.00902174,-0.033078,-0.0167585,-0.0391333,-0.14605,-0.0612379,0.0404509
2_Philippines,P22,0.677088,-0.175677,-0.0312671,-0.280743,-0.453091,-0.0328788,0.0242904,0.30757,-0.0147222,0.204921,0.0345226,-0.023477,0.123736,-0.107982,-0.0749811,-0.00580972,-0.0663559,0.0491912,0.0733072,-0.00203904
2_Philippines,P24,-0.0243347,-0.0548036,-0.170198,0.388137,-0.108742,0.641544,0.502473,0.0282319,-0.0778325,-0.0150125,-0.181269,0.0706572,0.0174916,-0.110749,-0.0608716,0.055604,-0.128781,-0.00918248,0.0886794,0.0632836
2_Philippines,P3,-0.109989,0.0041424,-0.224522,0.0606875,0.149921,-0.197719,0.0443411,0.345483,0.632358,0.00478623,-0.300141,-0.0745888,0.231001,-0.0879524,0.145374,-0.216136,-0.12378,-0.20137,-0.111342,-0.0324633
2_Philippines,P6,-0.109382,0.0147853,-0.221052,0.0838241,0.0172876,-0.193084,-0.0798209,0.269893,0.0291313,-0.0634744,-0.0276852,0.462091,-0.0204054,0.284762,-0.128233,0.505471,-0.009159,0.410818,0.0878189,-0.0856423
