Location,Individual,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1_Japan,J11,0.305196,-0.141073,0.17048,0.295233,0.186581,-0.102271,0.377625,0.63326,-0.0330541,0.0152125,-0.203621,-0.00676264,-0.0407362,-0.160401,0.186102,0.116534,0.0171117,0.0883124,-0.10462,-0.0536421
1_Japan,J13,0.313355,-0.154749,-0.0375334,-0.0236417,-0.276796,0.276608,0.282342,0.049389,-0.0399868,0.041062,-0.130786,-0.0161881,0.0662761,0.326323,-0.407519,-0.219662,-0.179466,-0.297753,0.282315,0.188995
1_Japan,J15,0.315607,-0.123486,-0.0131235,-0.308176,0.0907305,-0.271186,0.179123,-0.393269,0.240002,0.00181294,-0.0720003,0.22875,-0.360848,-0.37619,0.144721,0.0343657,-0.0434182,-0.224095,0.0597179,0.114124
1_Japan,J17,0.304859,-0.106283,0.0109392,0.167794,0.0425149,0.264325,-0.71003,0.076906,-0.287624,0.0673588,0.0308816,0.000888761,-0.0567154,-0.255926,0.0490546,0.0926538,-0.0649566,-0.246678,-0.00733972,0.104736
1_Japan,J19,0.23209,0.402685,-0.650805,-0.13286,0.240595,-0.302679,-0.138145,0.229604,0.106001,-0.0697903,0.0613355,-0.0879291,0.0693935,0.176947,-0.100653,-0.0604962,0.0265728,-0.0412107,-0.0313883,-0.00119536
1_Japan,J3,0.238792,0.136423,-0.288566,-0.0714249,-0.432387,0.466258,0.152292,-0.110927,-0.0425815,-0.14681,0.102032,0.0853571,-0.0492367,-0.0553842,0.319032,0.0955671,0.0823216,0.370519,-0.113241,-0.191291
1_Japan,J5,0.291689,-0.137495,0.251783,0.148381,0.109999,-0.0931538,0.064889,-0.192218,0.187382,-0.0560888,0.709858,-0.18392,0.28516,0.0960487,-0.103644,0.0970036,0.0880996,0.0287797,-0.0881971,-0.0348544
1_Japan,J9,0.277957,-0.127785,0.185934,-0.0979928,0.0842664,-0.232232,-0.198127,-0.294761,-0.183271,0.174968,-0.434451,-0.0132092,0.150836,0.27374,-0.0737867,-0.13435,0.145974,0.436889,-0.0366574,-0.197756
3_Indonesia,N1,-0.189143,-0.20648,-0.181212,0.0792526,-0.0358847,-0.0459949,0.0126317,-0.11288,0.0653822,-0.171575,-0.233467,-0.103813,0.28493,0.0609989,0.101236,0.573009,0.179239,-0.173792,0.349191,-0.0188526
3_Indonesia,N2,-0.180805,-0.360641,0.0403638,-0.231679,-0.120483,-0.0559654,-0.195401,0.322992,0.0967885,-0.216435,0.184196,0.227395,-0.296132,0.149442,-0.0569964,-0.231466,0.390557,-0.00612853,0.152566,-0.211911
