Location,Individual,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1_Japan,J11,-0.156048,0.129748,0.222674,-0.0494447,0.0400912,0.0484549,0.105879,0.0345491,-0.0270837,0.11565,0.132409,0.222181,-0.296375,-0.287879,0.302391,-0.0624577,0.357159,0.376805,-0.102486,-0.37114
1_Japan,J13,-0.144732,0.13411,0.213989,-0.0179647,-0.0379991,0.059769,0.101,-0.0294747,0.0460878,0.0649181,0.00088158,-0.178309,-0.0539637,0.121067,-0.337833,0.0394441,0.231064,-0.0795872,0.0591011,-0.127663
1_Japan,J15,0.057913,0.202429,0.298904,0.148881,0.145473,0.041121,-0.0145128,0.0347306,0.265056,-0.57896,-0.240687,-0.272789,0.357404,0.0663151,0.218082,0.0974166,0.0765072,0.0920323,-0.0251786,-0.0744991
1_Japan,J17,-0.159406,0.129876,0.201133,-0.0286661,0.0142879,0.0800354,0.0481385,0.0922088,0.0286268,0.106659,0.189652,0.0664589,-0.0254549,-0.0419856,0.335279,0.0995301,-0.211791,0.00646798,0.677832,0.412136
1_Japan,J19,-0.143877,0.116129,0.137685,-0.0808105,0.073322,0.141853,0.0191805,-0.0575486,-0.0888864,-0.0510196,0.0926721,0.0405014,-0.23711,-0.00114741,0.098413,0.101634,-0.073312,-0.0124317,-0.626416,0.551666
1_Japan,J3,-0.157965,0.112292,0.197748,0.0117657,0.0336638,0.0147153,-0.0927198,0.0951209,-0.137153,0.0549843,-0.00527349,0.294101,0.0393513,0.42562,-0.0653554,-0.284132,-0.541878,-0.0697763,-0.0730428,-0.307716
1_Japan,J5,-0.141998,0.135051,0.164912,-0.0322712,-0.0288661,-0.0181962,0.129025,-0.02455,-0.0108957,0.149727,-0.0909243,-0.0252175,0.0880871,0.0190397,-0.121416,-0.0188656,-0.0459251,0.0608425,-0.0156978,-0.222033
1_Japan,J9,-0.160128,0.111035,0.196803,-0.0318092,-0.0364472,0.0373625,-0.00152857,-0.0691622,0.00487375,0.0548178,0.1495,-0.070439,0.178194,-0.0797572,-0.494974,-0.140852,0.230409,-0.279806,0.0246103,0.240533
3_Indonesia,N1,0.227676,0.0324346,-0.149475,0.499297,-0.111003,0.193558,-0.160584,0.089321,0.269317,-0.0314517,0.610908,0.110965,0.0547399,-0.105698,-0.0287114,0.0927485,-0.063352,-0.128805,-0.100733,-0.148795
3_Indonesia,N2,0.0911666,-0.0310946,-0.19353,0.421473,-0.0559379,-0.0978167,0.231525,0.0135919,0.011372,0.306787,-0.0712361,-0.299413,-0.056908,0.468636,0.125182,-0.269888,0.169641,0.288314,-0.0224441,0.203061
