Location,Individual,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1_Japan,J11,-0.164753,-0.0934212,0.233791,-0.0497049,-0.036513,0.0442567,0.0814818,-0.0628886,0.0347241,-0.143484,0.0926249,-0.189171,0.199898,-0.309634,0.327332,-0.113137,0.32102,0.412157,0.1348,0.365388
1_Japan,J13,-0.155869,-0.107068,0.22746,-0.0181542,0.0443692,0.0596111,0.101404,-0.0160379,-0.0439058,-0.0646081,-0.0176906,0.195637,0.11246,0.0873596,-0.344245,0.0436525,0.23527,-0.0394207,-0.0628247,0.156663
1_Japan,J15,0.0428787,-0.151728,0.334623,0.152625,-0.148341,0.0609881,-0.0292869,-0.0605369,-0.260308,0.641433,-0.0992682,0.235607,-0.338513,0.157024,0.165278,0.0998874,0.0539834,0.0892009,0.012765,0.0604801
1_Japan,J17,-0.169954,-0.0991671,0.21619,-0.0303266,-0.011271,0.0811897,0.0116277,-0.105294,-0.0157887,-0.162124,0.161232,-0.0727406,0.00307695,-0.0339937,0.379714,0.0945187,-0.199745,-0.0213312,-0.686077,-0.347113
1_Japan,J19,-0.151534,-0.0860365,0.151143,-0.0808197,-0.0723808,0.13886,0.0429576,0.0555483,0.0813413,0.0159762,0.109485,-0.0280336,0.203293,-0.0420018,0.136992,0.0844795,-0.0319279,-0.00950683,0.602515,-0.584969
1_Japan,J3,-0.16588,-0.0769318,0.211353,0.00759232,-0.0327122,0.0178561,-0.116497,-0.0397992,0.164722,-0.0651952,-0.00791033,-0.323154,0.0552127,0.41826,-0.108524,-0.220009,-0.538857,-0.140139,0.104602,0.264483
1_Japan,J5,-0.151876,-0.105084,0.182379,-0.0301214,0.0357609,-0.0173376,0.130599,-0.0267968,0.0141581,-0.122352,-0.132048,0.0253431,-0.0811362,0.0279191,-0.128332,-0.00624454,-0.0654231,0.0666918,0.0359233,0.267127
1_Japan,J9,-0.167985,-0.0777148,0.209794,-0.0309129,0.0371875,0.0345078,0.022753,0.065677,-0.022316,-0.0901802,0.131459,0.0667888,-0.151105,-0.083078,-0.517336,-0.131377,0.239027,-0.251973,-0.0654281,-0.27925
3_Indonesia,N1,0.217885,-0.0602255,-0.133604,0.511257,0.110915,0.202514,-0.186849,-0.041812,-0.290785,-0.123772,0.576858,-0.120246,-0.0550791,-0.101831,-0.0293749,0.0960982,-0.0339554,-0.131009,0.109477,0.154429
3_Indonesia,N2,0.0844682,-0.0110456,-0.194725,0.423454,0.0745998,-0.106701,0.207773,-0.119546,0.00153382,-0.266977,-0.143651,0.293001,0.102228,0.481673,0.0914964,-0.264003,0.112084,0.305129,0.0044808,-0.207442
3_Indonesia,N3,0.0709224,-0.0193184,0.00467116,0.439689,0.0385743,-0.255136,0.0215,-0.264335,0.111697,0.135717,-0.489785,-0.384853,0.0698475,-0.366274,-0.0929099,0.063792,-0.00715719,-0.150979,-0.0143551,-0.129742
3_Indonesia,N4,0.114554,0.546727,0.127604,0.0053507,-0.0306721,0.0439677,0.00796091,0.00620227,-0.0301258,0.00480437,-0.004377,-0.0343477,-0.0547453,-0.0102046,0.0116868,-0.0147103,-0.0136101,0.00351367,0.0376455,-0.0249518
3_Indonesia,N5,0.111485,0.728516,0.186402,-0.0507777,-0.0511664,0.0611059,-0.0232365,-0.026018,0.0465193,-0.0304098,0.0117458,0.0536504,0.00568953,0.00950433,0.00459434,-0.0289399,0.0293226,-0.00865406,-0.0303217,0.026986
3_Indonesia,N6,-0.077478,0.0212197,-0.116763,0.103144,0.199229,-0.181075,-0.167872,0.296629,0.381108,0.476749,0.244583,0.211923,0.417565,-0.0974621,-0.0631287,-0.130643,-0.0882332,0.0943757,-0.161177,0.0368214
3_Indonesia,N7,-0.0849107,-0.00453456,-0.0507983,0.0499076,0.0349784,-0.114264,-0.00400773,0.0729986,0.183694,-0.24962,-0.123779,0.372049,0.0634421,0.00105634,0.146676,0.678973,-0.0569765,-0.265631,0.0780883,0.205209
2_Philippines,P1,-0.0769384,-0.0271287,-0.16003,-0.0597401,0.0534027,-0.109356,-0.1098,0.0690816,0.1324,-0.118406,-0.0111716,0.234134,-0.571972,-0.31162,0.057115,-0.175382,-0.372948,0.215686,0.17686,-0.0419884
2_Philippines,P10,-0.0857182,0.00141845,-0.165815,-0.0954542,0.124141,-0.11106,0.00964805,-0.00908833,-0.0850969,-0.105485,-0.0121407,0.0520846,-0.124512,-0.236307,-0.184684,-0.104836,0.0818418,0.14581,-0.159955,0.0174453
2_Philippines,P14,0.497095,-0.141742,0.0302042,-0.359199,0.630033,0.117688,0.188575,-0.224446,0.160091,0.0876884,0.0148546,-0.0628834,-0.0591862,0.0766908,0.0783363,0.012728,0.0361249,-0.0858358,0.0376975,3.26E-05
2_Philippines,P16,-0.0843415,-0.0260455,-0.187653,-0.00934796,-0.0730795,-0.114517,-0.0659077,0.33893,0.203415,-0.00110593,-0.0137818,-0.22312,-0.293802,0.194595,0.346966,-0.210545,0.448506,-0.414595,-0.00335491,0.0625758
2_Philippines,P18,-0.0343605,-0.0556492,-0.274037,-0.204282,-0.172823,0.312099,-0.640652,-0.444896,0.0504348,0.00373923,-0.175325,0.124122,0.123061,0.0413545,-0.0220932,-0.064579,0.144976,-0.0171967,-0.0197981,-0.000793957
2_Philippines,P20,-0.0430194,0.0192553,-0.311337,-0.22904,-0.386369,-0.34284,0.4175,-0.426079,-0.0622793,0.171775,0.331855,0.00934374,0.0491767,0.0110344,-0.0234217,-0.00767655,-0.0594272,-0.155751,0.0333233,0.0650628
2_Philippines,P22,0.65492,-0.231744,0.161656,-0.136612,-0.460746,-0.187623,-0.120547,0.300145,0.000476162,-0.184873,-0.047771,0.0258149,0.129071,-0.0611857,-0.0904764,-0.0362454,-0.0486066,0.068,-0.0711307,-0.0262042
2_Philippines,P24,0.00999814,-0.0204545,-0.346139,0.0326544,-0.192191,0.668073,0.410369,0.26593,0.0594355,0.113061,-0.19698,-0.0758861,0.0332293,-0.0921794,-0.0838949,0.0305417,-0.123153,0.02843,-0.109757,0.0570311
2_Philippines,P3,-0.103842,0.0295217,-0.127594,-0.19133,0.220684,-0.135469,-0.0496522,0.233038,-0.708697,0.00709694,-0.236374,0.0437812,0.279095,-0.0545103,0.148392,-0.15849,-0.149132,-0.191179,0.0517155,0.0180899
2_Philippines,P6,-0.0857447,0.0483818,-0.208778,-0.149852,0.0643897,-0.167338,-0.13984,0.163394,-0.106447,0.0705528,0.0373581,-0.428844,-0.116294,0.293812,-0.206161,0.462147,0.0869949,0.454208,-0.0357125,-0.115371
