Location,Individual,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1_Japan,J11,-0.147784,-0.134871,0.22251,-0.0482927,-0.0435495,-0.0517203,-0.153672,0.0668897,-0.00299023,-0.19072,-0.129017,0.152007,0.484261,-0.0861897,0.108709,0.0790831,-0.479866,-0.164178,0.128544,0.350523
1_Japan,J13,-0.136494,-0.135814,0.19912,-0.0278318,0.0445472,-0.0814003,-0.0435457,0.103091,0.0757464,0.0924713,-0.0210745,-0.144955,-0.0171889,0.188841,-0.371996,0.202521,-0.0790321,0.0689881,-0.0993357,0.179659
1_Japan,J15,0.0485408,-0.216551,0.279599,0.211429,-0.0649985,0.0452267,0.290096,0.0593266,-0.0996927,0.631839,0.0202065,0.077236,-0.345674,-0.230287,0.123669,0.0479616,-0.208377,-0.0619692,0.112225,0.0290724
1_Japan,J17,-0.154685,-0.13219,0.214187,-0.0414196,-0.0562424,-0.124389,-0.0809593,0.0683474,-0.132528,-0.129677,-0.117508,-0.0491935,-0.133185,0.0045174,0.446618,0.148437,0.271565,-0.00611834,-0.651438,-0.0889255
1_Japan,J19,-0.135789,-0.126532,0.154642,-0.0810498,-0.0600491,-0.167096,0.0340104,-0.0813619,0.138317,-0.0486433,-0.122965,0.122591,0.178187,0.136151,0.226736,0.0210813,-0.0718647,-0.0350114,0.304531,-0.719698
1_Japan,J3,-0.154119,-0.11555,0.203488,0.030913,-0.0480257,-0.016046,-0.0449452,-0.126849,-0.0651128,-0.211607,0.227443,0.196209,-0.213771,0.19993,0.0255777,-0.604231,0.297796,-0.134822,0.226059,0.207106
1_Japan,J5,-0.135088,-0.137799,0.15145,-0.0284828,0.0343565,0.0296733,-0.165983,0.117737,0.0584016,-0.00688017,0.138085,-0.0609079,-0.0286531,-0.023146,-0.130061,-0.00836935,0.0439741,-0.224969,-0.114328,0.165205
1_Japan,J9,-0.153898,-0.120214,0.199368,-0.0458493,0.0446347,-0.0611285,0.00898487,-0.0100586,0.0769108,-0.0782996,-0.148153,-0.0608934,-0.0974318,-0.0658076,-0.536903,-0.0636074,0.0765487,0.47552,0.0324319,-0.202793
3_Indonesia,N1,0.214532,-0.0201073,-0.153925,0.475071,0.18392,-0.247762,0.268452,0.196483,-0.215203,-0.32954,-0.469945,0.0670508,-0.0473057,-0.0676259,-0.0268824,0.0205047,0.116728,-0.0209709,0.122904,0.111119
3_Indonesia,N2,0.0721388,0.0590454,-0.233028,0.392468,0.0594468,0.0726535,-0.286185,0.191133,0.137844,0.0271648,0.0775835,-0.23261,-0.159919,0.381031,0.0352808,-0.270586,-0.435283,-0.0640256,-0.166194,-0.199318
3_Indonesia,N3,0.0768471,-0.01006,-0.0235743,0.434255,0.0677523,0.171015,-0.24879,0.017457,-0.233634,0.0889821,0.463529,0.244611,0.377372,-0.140588,-0.0431365,0.188535,0.264754,0.176976,0.0146888,-0.135418
3_Indonesia,N5,0.0560307,0.878422,0.400057,0.0207257,-0.116502,-0.0469871,0.0161298,0.0238986,-0.0153778,0.00808568,-0.0194388,-0.00482369,-0.016933,-0.0405925,-0.00817144,-0.0205697,-0.0269604,-0.00161656,-0.00238815,-0.00358216
3_Indonesia,N6,-0.0766594,0.067922,-0.0817666,0.123729,0.290217,0.148104,0.127007,-0.686322,0.139784,0.25774,-0.262639,0.0398842,0.204422,0.255481,-0.0200732,0.00992082,0.0996234,-0.101724,-0.164878,0.117627
3_Indonesia,N7,-0.0801576,0.0203246,-0.0428948,0.0360163,-0.0078163,0.0631917,-0.097815,-0.0592495,0.095007,-0.121697,0.110805,-0.522087,-0.160236,0.13951,0.184554,0.473626,0.196671,0.0175878,0.422276,0.142606
2_Philippines,P1,-0.0753329,0.00220157,-0.156781,-0.049872,0.010011,0.0957374,-0.0307713,-0.169138,-0.0506866,-0.0498337,-0.0198125,-0.379586,-0.000365304,-0.584435,-0.0233826,-0.212909,0.036782,-0.346235,0.0932897,-0.145183
2_Philippines,P10,-0.0845685,0.0501575,-0.166875,-0.131026,0.0745774,0.134559,-0.0354459,0.0955762,-0.076896,-0.0159854,-0.0543111,-0.0752618,0.104157,-0.240268,-0.255661,-0.0602012,-0.0364429,-0.109513,-0.254843,-0.135652
2_Philippines,P14,0.542718,-0.0324216,0.0505489,-0.412548,0.536933,-0.201963,-0.323869,-0.0293953,-0.0921139,0.0905055,0.0260919,0.0579434,-0.110765,-0.0279917,0.0933353,-0.0240355,-0.0284362,0.0650521,0.0793941,0.0127033
2_Philippines,P16,-0.0803816,0.0130273,-0.171812,-0.00232961,-0.0469867,0.126117,0.0419871,-0.223305,0.171283,-0.200536,0.0848424,0.0736715,-0.145819,-0.278091,0.304025,-0.0975932,-0.278841,0.610582,-0.0566553,0.175095
2_Philippines,P18,-0.025514,0.0171539,-0.248238,-0.207872,-0.240493,-0.350457,0.262553,-0.144036,-0.595245,0.0855244,0.231109,-0.197359,0.143708,0.230795,-0.0473802,-0.0522275,-0.153021,0.1009,-0.0335055,0.0240588
2_Philippines,P20,-0.03545,0.0501703,-0.311179,-0.166179,-0.42522,0.190184,-0.423875,0.104209,-0.13383,0.261733,-0.442676,0.24066,-0.0962997,0.0704349,-0.00077588,0.0124715,0.166204,0.0562386,0.151556,0.0800664
2_Philippines,P22,0.663773,-0.184862,0.134216,-0.0630736,-0.456027,0.269456,0.200546,-0.0844174,0.20382,-0.178194,0.0276331,-0.0863455,0.128697,0.0781933,-0.0923839,-0.00429933,0.049646,-0.0538404,-0.123734,-0.0126385
2_Philippines,P24,0.00131702,0.0642686,-0.313671,-0.00389774,-0.133425,-0.567674,0.0760076,0.112597,0.563472,0.180915,0.187667,0.147027,0.0793331,-0.121644,-0.0188126,0.0121921,0.17942,-0.0809137,-0.0582654,0.109028
2_Philippines,P3,-0.110373,0.0602079,-0.0995554,-0.251941,0.268594,0.373864,0.408941,0.497941,0.0828786,0.121268,0.010617,-0.0587415,0.250597,0.152334,0.188033,-0.165449,0.165357,0.112331,0.0610342,0.0440155
2_Philippines,P6,-0.0896045,0.0840694,-0.205885,-0.162942,0.0843454,0.196841,0.201139,-0.0405553,-0.0301543,-0.284616,0.201927,0.453873,-0.377187,0.0694476,-0.160918,0.367745,-0.166946,-0.27827,-0.0233662,-0.104677
