Location,Individual,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1_Japan,J11,-0.136207,-0.0711423,0.203218,-0.149056,-0.0125815,-0.0673792,0.0604249,-0.106833,-0.0016431,0.11808,0.12072,-0.186901,-0.183013,-0.225566,0.401776,-0.0950136,0.263318,0.455657,-0.153361,0.366037
1_Japan,J13,-0.126557,-0.0837259,0.200947,-0.114447,0.0719857,-0.0687444,0.0935268,-0.0579062,0.0797188,0.0480096,-0.0171277,0.18085,-0.134934,0.0254813,-0.344477,0.055738,0.240975,-0.0109273,0.0572732,0.124516
1_Japan,J15,0.0836586,-0.102837,0.344666,0.0128362,-0.140673,-0.100358,-0.0335327,-0.0509556,0.235326,-0.65891,-0.165285,0.214431,0.352541,0.205176,0.0962386,0.0746858,0.0523252,0.105662,-0.00129299,0.0835093
1_Japan,J17,-0.141693,-0.0787664,0.191519,-0.121806,0.017226,-0.0970076,-0.0188192,-0.118667,0.0597898,0.12372,0.180257,-0.0713251,0.0183394,0.0474885,0.386869,0.080997,-0.226173,-0.0762202,0.700459,-0.287279
1_Japan,J19,-0.130084,-0.0743744,0.1165,-0.135522,-0.041633,-0.162156,0.0777181,-0.00505703,-0.0572041,-0.0174741,0.117957,-0.0154539,-0.177135,-0.00742139,0.12589,0.0605623,0.0182174,0.0579396,-0.506022,-0.644196
1_Japan,J3,-0.143355,-0.0609164,0.22621,-0.0957677,-0.0163368,-0.054743,-0.106333,-0.0375179,-0.145029,0.0693181,0.00421612,-0.320987,-0.059627,0.368883,-0.18148,-0.2894,-0.502389,-0.20128,-0.147875,0.263662
1_Japan,J5,-0.125415,-0.0870917,0.158396,-0.107369,0.046524,0.0105107,0.114444,-0.0785987,0.0036988,0.128302,-0.115666,0.0172475,0.0661493,0.000198679,-0.135131,0.000764775,-0.090869,0.03501,-0.103349,0.202107
1_Japan,J9,-0.143573,-0.0594398,0.190477,-0.124418,0.0577631,-0.0544085,0.0427142,0.0500507,0.0445522,0.0709013,0.138769,0.0436166,0.111859,-0.167298,-0.504646,-0.117285,0.288647,-0.200521,0.111082,-0.249724
3_Indonesia,N1,0.208226,-0.0624732,0.0585337,0.548951,0.114845,-0.146139,-0.200419,0.0593882,0.30753,0.057506,0.572794,-0.120224,0.0558124,-0.0907201,-0.0111821,0.094919,-0.0126467,-0.13691,-0.140539,0.121711
3_Indonesia,N2,0.066001,-0.0305289,-0.0165884,0.466945,0.0478663,0.164383,0.137601,-0.151816,0.0101054,0.294095,-0.13471,0.308338,-0.0969601,0.462713,-0.0106835,-0.273284,0.0632303,0.337201,0.0597813,-0.174503
3_Indonesia,N3,0.0679132,-0.0201705,0.198728,0.38945,-0.0203416,0.262625,-0.062742,-0.274792,-0.144895,-0.0869101,-0.479382,-0.380848,-0.0800062,-0.379908,-0.00878539,0.0817112,0.0235878,-0.154779,0.020164,-0.13921
3_Indonesia,N4,0.0882061,0.565666,0.0412979,-0.00576582,-0.028525,-0.0448146,0.0119357,0.00302313,0.0264024,-0.00304558,-0.0039894,-0.0334313,0.0562506,-0.00935864,0.00869528,-0.0148955,-0.00996045,0.0051371,-0.033768,-0.0308638
3_Indonesia,N5,0.0755904,0.751581,0.0592911,-0.0803789,-0.0346682,-0.0694739,-0.0268387,-0.0218448,-0.038132,0.0307891,0.0147495,0.0538854,-0.0057269,0.00811979,0.00356722,-0.0253081,0.0276396,-0.00754941,0.0263859,0.0282814
3_Indonesia,N6,-0.0921428,-0.00276505,-0.0180185,0.119328,0.166755,0.185242,-0.0639699,0.33979,-0.439127,-0.462098,0.204996,0.234277,-0.417072,-0.120909,-0.0163571,-0.106934,-0.123143,0.0603922,0.130679,0.0405245
3_Indonesia,N7,-0.0978229,-0.0256121,0.0442122,0.0253053,0.0243116,0.0863998,0.0276896,0.0332333,-0.146881,0.264147,-0.0954654,0.370103,-0.057656,0.0699628,0.145085,0.672939,-0.0496543,-0.286615,-0.123124,0.207918
2_Philippines,P1,-0.0914269,-0.0556889,-0.124369,-0.0118293,0.0362328,0.107249,-0.0876233,0.100578,-0.140931,0.13549,-0.00451938,0.237752,0.593646,-0.328734,0.0692003,-0.147977,-0.370346,0.164386,-0.186451,-0.0966033
2_Philippines,P10,-0.101553,-0.0282931,-0.163816,-0.0322391,0.103369,0.13382,-0.00900659,0.0098945,0.0871413,0.101609,-0.0102362,0.0427162,0.116029,-0.277038,-0.14317,-0.0844583,0.0891967,0.162468,0.243193,0.177686
2_Philippines,P14,0.514044,-0.101134,-0.184473,-0.289145,0.653735,-0.00638983,0.0898823,-0.273618,-0.129181,-0.0881304,0.0129869,-0.063119,0.0619617,0.095451,0.0586592,0.00299352,0.049352,-0.0745401,-0.0429105,-0.0121202
2_Philippines,P16,-0.0995797,-0.0571007,-0.130949,0.0468701,-0.0950203,0.0970902,0.0481429,0.343006,-0.262318,0.0389879,-0.0153406,-0.204196,0.298988,0.255486,0.295105,-0.197563,0.499075,-0.349794,-0.00703109,0.0475807
2_Philippines,P18,-0.0491146,-0.0867767,-0.3422,-0.0667792,-0.147844,-0.334424,-0.74134,-0.214413,-0.0606497,0.0140261,-0.168522,0.125961,-0.130059,0.0328482,-0.0193189,-0.0532319,0.134448,-0.0055146,0.0159183,-0.00390269
